"vtkOriginalPointIds","Points:0","Points:1","Points:2"
3935,-2.8285,-1.0863,-0.49257
3936,-2.4519,-1.5014,-0.16293
3939,-3.5731,-0.17464,-1.112
3940,-3.2168,-0.63177,-0.80666
3943,-4.1243,0.81251,-1.6656
3944,-3.8757,0.30114,-1.4019
3947,-4.548,1.9866,-2.0347
3948,-4.3399,1.3773,-1.8883
3996,-5.0185,3.1718,-1.8911
3997,-4.7784,2.6048,-2.0491
4000,-6.2244,3.192,2.1275
4001,-6.2116,3.4668,1.6088
4003,-6.1032,2.571,3.2023
4004,-6.1835,2.8945,2.6596
4008,-5.8706,1.7744,4.2876
4009,-5.9943,2.2036,3.7509
4011,-5.5828,0.70296,5.1815
4012,-5.7491,1.2659,4.7821
4043,-1.816,-1.4995,2.9216
4050,-1.9329,-0.9818,3.6713
4053,-2.1983,-0.65641,3.9468
4055,-2.6275,-0.48538,4.218
4059,-3.5114,-0.31257,4.757
4060,-4.085,-0.3457,4.9747
4082,-1.8787,-1.9249,2.0576
4083,-1.8644,-1.7413,2.5123
4094,-1.8852,-2.0159,1.0904
4095,-1.8847,-2.0228,1.5791
4108,-4.6921,-0.2142,5.177
4109,-5.2396,0.16385,5.3113
4251,-6.1273,3.7076,1.1045
4252,-5.9729,3.8939,0.60345
4348,-5.3686,3.8679,-1.0233
4349,-5.2133,3.6028,-1.5353
4350,-5.5511,3.9924,-0.46388
4353,-5.7691,3.9962,0.082453
4366,-1.9563,-1.9358,0.62044
4369,-2.1529,-1.7873,0.20252
4507,-2.6346,-1.3044,-0.33096
4511,-3.4003,-0.40453,-0.96083
4515,-4.0054,0.55126,-1.5379
4519,-4.443,1.6786,-1.9745
4568,-4.9006,2.9,-1.9933
4572,-6.2258,3.3329,1.8664
4575,-6.1476,2.7371,2.9299
4580,-5.9333,1.9978,4.0226
4583,-5.6785,0.98703,4.9984
4615,-1.7864,-1.3616,3.1069
4616,-1.819,-1.2698,3.3325
4625,-2.0438,-0.80762,3.8092
4626,-2.8913,-0.47449,4.35
4629,-3.064,-0.37646,4.4824
4631,-3.7942,-0.34036,4.868
4654,-1.8742,-1.8421,2.2893
4666,-1.8869,-2.0331,1.3357
4680,-4.9852,-0.056893,5.2594
4823,-6.0576,3.8094,0.85504
4920,-5.2917,3.7545,-1.292
4925,-5.6587,4.0084,-0.18831
4941,-2.0428,-1.8741,0.4041
5113,-3.0253,-0.85837,-0.65029
5116,-2.2886,-1.6661,0.014052
5119,-3.7324,0.059919,-1.2593
5123,-4.2349,1.0871,-1.783
5127,-4.6585,2.2968,-2.0619
5191,-5.125,3.4096,-1.7395
5195,-6.2095,3.0454,2.3919
5196,-6.1795,3.5922,1.3548
5199,-6.0517,2.3939,3.4762
5201,-5.8085,1.5312,4.542
5203,-5.4429,0.42485,5.2972
5251,-1.8461,-1.6259,2.724
5253,-1.868,-1.1633,3.534
5261,-2.3938,-0.54379,4.0833
5264,-3.236,-0.281,4.6415
5268,-4.3842,-0.30988,5.0776
5299,-1.8811,-1.9863,1.82
5313,-1.9011,-1.9803,0.84979
5474,-5.8759,3.9574,0.34689
5555,-5.4523,3.9461,-0.74271
5879,-5.9721,1.171,4.5102
